DEVICE	DESCR	VALUE	RATING	PACKAGE	MFG PN	MFGR NAME	MIT PN	NOTE
RESISTOR	RESISTOR	1.05k	1% 1/10W	0603	M55342H12B1E05R-TR-CC	SOTA		
RESISTOR	RESISTOR	100k	1% 1/10W	0603	M55342H12B100ER-TR-CC	SOTA		
RESISTOR	RESISTOR	10k	1% 1/10W	0603	M55342H12B10E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	11.0k	1% 1/10W	0603	M55342H12B11E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	121k	1% 1/10W	0603	M55342H12B121ER-TR-CC	SOTA		
RESISTOR	RESISTOR	13.0k	1% 1/10W	0603	M55342H12B13E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	133k	1% 1/10W	0603	M55342H12B133ER-TR-CC	SOTA		
RESISTOR	RESISTOR	14.7k	1% 1/10W	0603	M55342H12B14E7R-TR-CC	SOTA		
RESISTOR	RESISTOR	140k	1% 1/10W	0603	M55342H12B140ER-TR-CC	SOTA		
RESISTOR	RESISTOR	15.0k	1% 1/10W	0603	M55342H12B15E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	18.2k	1% 1/10W	0603	M55342H12B18E2R-TR-CC	SOTA		
RESISTOR	RESISTOR	4.99	1% 1/4W	1206	D55342K07B4D99R-TR-CC	SOTA		
RESISTOR	RESISTOR	1k	1% 1/10W	0603	M55342H12B1E00R-TR-CC	SOTA		
RESISTOR	RESISTOR	2.00k	1% 1/10W	0603	M55342H12B2E00R-TR-CC	SOTA		
RESISTOR	RESISTOR	200k	1% 1/10W	0603	M55342H12B200ER-TR-CC	SOTA		
RESISTOR	RESISTOR	100.	5% 1/2W	2010	M55342K08B100JR-TR-CC	SOTA		
RESISTOR	RESISTOR	360.	5% 1/4W	1206	D55342K07B360JR-TR-CC	SOTA		
RESISTOR	RESISTOR	20k	1% 1/10W	0603	M55342H12B20E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	21.5k	1% 1/10W	0603	M55342H12B21E5R-TR-CC	SOTA		
RESISTOR	RESISTOR	24.9k	1% 1/10W	0603	M55342H12B24E9R-TR-CC	SOTA		
RESISTOR	RESISTOR	26.7k	1% 1/10W	0603	M55342H12B26E7R-TR-CC	SOTA		
RESISTOR	RESISTOR	3.00k	1% 1/10W	0603	M55342H12B3E00R-TR	SOTA		
RESISTOR	RESISTOR	3.01k	1% 1/10W	0603	M55342H12B3E01R-TR-CC	SOTA		
RESISTOR	RESISTOR	10.	5% 1W	2512	M55342K09B10J0R-TR-CC	SOTA		
RESISTOR	RESISTOR	3.01Meg	1% 1/10W	0603	M55342M12B3F01R-TR-CC	SOTA		
RESISTOR	RESISTOR	3.74k	1% 1/10W	0603	M55342H12B3E74R-TR-CC	SOTA		
RESISTOR	RESISTOR	16.2	5% 1W	2512	M55342K09B16J2S-TR-CC	SOTA		
RESISTOR	RESISTOR	30.1k	1% 1/10W	0603	M55342H12B30E1R-TR-CC	SOTA		
RESISTOR	RESISTOR	301k	1% 1/10W	0603	M55342H12B301ER-TR-CC	SOTA		
RESISTOR	RESISTOR	37.4k	1% 1/10W	0603	M55342H12B37E4R-TR-CC	SOTA		
RESISTOR	RESISTOR	38.3k	1% 1/10W	0603	M55342H12B38E3R-TR-CC	SOTA		
RESISTOR	RESISTOR	392k	1% 1/10W	0603	M55342H12B392ER-TR-CC	SOTA		
RESISTOR	RESISTOR	4.32k	1% 1/10W	0603	M55342H12B4E32R-TR-CC	SOTA		
RESISTOR	RESISTOR	4.75k	1% 1/10W	0603	M55342H12B4E75R-TR-CC	SOTA		
RESISTOR	RESISTOR	4.99k	1% 1/10W	0603	M55342H12B4E99R-TR-CC	SOTA		
RESISTOR	RESISTOR	40.2k	1% 1/10W	0603	M55342H12B40E2R-TR-CC	SOTA		
RESISTOR	RESISTOR	44.2k	1% 1/10W	0603	M55342H12B44E2R-TR-CC	SOTA		
RESISTOR	RESISTOR	45.3k	1% 1/10W	0603	M55342H12B45E3R-TR-CC	SOTA		
RESISTOR	RESISTOR	46.4k	1% 1/10W	0603	M55342H12B46E4R-TR-CC	SOTA		
RESISTOR	RESISTOR	54.9k	1% 1/10W	0603	M55342H12B54E9R-TR-CC	SOTA		
RESISTOR	RESISTOR	56.2k	1% 1/10W	0603	M55342H12B56E2R-TR-CC	SOTA		
RESISTOR	RESISTOR	3.9	5% 1W	2512	M55342K09B3J90R-TR-CC	SOTA		
RESISTOR	RESISTOR	60.4k	1% 1/10W	0603	M55342H12B60E4R-TR-CC	SOTA		
RESISTOR	RESISTOR	604k	1% 1/10W	0603	M55342K12B604ER-TR-CC	SOTA		
RESISTOR	RESISTOR	64.9k	1% 1/10W	0603	M55342H12B64E9R-TR-CC	SOTA		
RESISTOR	RESISTOR	66.5k	1% 1/10W	0603	M55342H12B66E5R-TR-CC	SOTA		
RESISTOR	RESISTOR	7.15k	1% 1/10W	0603	M55342H12B7E15R-TR-CC	SOTA		
RESISTOR	RESISTOR	7.5k	1% 1/10W	0603	M55342H12B7E50R-TR-CC	SOTA		
RESISTOR	RESISTOR	71.5k	1% 1/10W	0603	M55342H12B71E5R-TR-CC	SOTA		
RESISTOR	RESISTOR	73.2k	1% 1/10W	0603	M55342H12B73E2R-TR-CC	SOTA		
RESISTOR	RESISTOR	75k	1% 1/10W	0603	M55342H12B75E0R-TR-CC	SOTA		
RESISTOR	RESISTOR	8.87k	1% 1/10W	0603	M55342H12B8E87R-TR-CC	SOTA		
RESISTOR	RESISTOR	82.5k	1% 1/10W	0603	M55342H12B82E5R-TR-CC	SOTA		
RESISTOR	RESISTOR	9.76k	1% 1/10W	0603	M55342H12B9E76R-TR-CC	SOTA		
RESISTOR	RESISTOR	953k	1% 1/10W	0603	M55342K12B953ER-TR-CC	SOTA		
RESISTOR	RESISTOR	43.	5% 1W	2512	M55342K09B43J0R-TR-CC	SOTA		
DS26LV32A	RS422 RECEIVER	unknown	unknown	GDFP2-F16	5962-9858501QFA	TEXAS INST	37-99016	
StackConn	STACKING W CONTACT PINS	unknown	unknown	RC422-200-221-4100	RC422-200-221-4100	AIRBORN		
StackConn	STACKING W TERMINATED PINS	unknown	unknown	RC422-200-101-3000	RC422-200-101-3000	AIRBORN		
DIODE	SWITCHING DIODE	1N914UR	unknown	DO213AA	JANTX1N914UR	MICROSEMI	37-90801	
TempConn	THERMAL CONNECTOR	MDM31P	unknown	MDM31P	NK-2G2-031-145-TH00	AIRBORN		
OSC	60MHZ OSC	DNP	KC3225A60.0000C3GE00	KYOCERA-KC3225A-C3	DNP	DNP		NOT USED FOR FLIGHT
