ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
1	1	U4	Artix XC7A50T-1FGG484C unknown BGA484	**MISSING**	**MISSING**	
2	1	J9	HEADER14 87832-1420 unknown HEADER14SMT2MM	**MISSING**	**MISSING**	
3	1	U9	DS26LV32A unknown unknown CFP16	**MISSING**	**MISSING**	
4	1	J6	MDM9S unknown unknown MDM9S	**MISSING**	**MISSING**	
5	3	R88,R89,R90	RESISTOR 1k 5% 1/10W 0603	**MISSING**	**MISSING**	
6	6	R87,R91,R94,R95,R96,R97	RESISTOR 4.7k 5% 1/10W 0603	**MISSING**	**MISSING**	
7	1	J8	Header unknown unknown HEADER16	**MISSING**	**MISSING**	
8	5	R80,R81,R82,R83,R84	RESISTOR DNP 5% 1/10W 0603	**MISSING**	**MISSING**	
9	1	U88	2104D60M0000YAX DNP unknown FP14	**MISSING**	**MISSING**	
10	1	R71	RESISTOR 4.99k 1% 0603	**MISSING**	**MISSING**	
11	1	Js	StackConn unknown unknown RC422-200-201-3900	**MISSING**	**MISSING**	
12	2	U11,U12	MAX9180 unknown unknown SC70-6	**MISSING**	**MISSING**	
13	2	R98,R99	RESISTOR 100 5% 1/10W 0603	**MISSING**	**MISSING**	
14	1	U8	OSC KC3225A60.0000C3GE00 unknown KYOCERA-KC3225A-C3	**MISSING**	**MISSING**	
15	1	R13	RESISTOR 140k 1% 0603	**MISSING**	**MISSING**	
16	1	R15	RESISTOR 71.5k 1% 0603	**MISSING**	**MISSING**	
17	1	R14	RESISTOR 8.87k 1% 0603	**MISSING**	**MISSING**	
18	1	U2	AD7984BRMZ unknown unknown MSOP10	Analog Devices	AD7984BRMZ	
19	2	R69,R70	RESISTOR 750 1% 1/10W 0603	**MISSING**	**MISSING**	
20	7	R2,R4,R5,R63,R64,R65,R66	RESISTOR 121k 1% 0603	**MISSING**	**MISSING**	
21	1	R68	RESISTOR 62 5% 0.15W 0805	**MISSING**	**MISSING**	
22	1	R67	RESISTOR 20 1% 1/10W 0603	Panasonic Electronic Components	ERJ-3EKF20R0V	
23	3	C15,C19,C55	POLARIZED_CAPACITOR 220uF 6WVDC 2915	**MISSING**	**MISSING**	
24	3	C33,C48,C54	POLARIZED_CAPACITOR 47uF 15WVDC 2711	**MISSING**	**MISSING**	
25	4	X1/R5,X1/R8,X2/R5,X2/R8	RESISTOR 21.5 1% 1/10W 0603	**MISSING**	**MISSING**	
26	5	C94,X1/C1,X1/C4,X2/C1,X2/C4	CAPACITOR 10pF 100WVDC NP0 0603	**MISSING**	**MISSING**	
27	4	X1/R2,X1/R4,X2/R2,X2/R4	RESISTOR 200k 1% 0603	Panasonic Electronic Components	ERJ-3EKF2003V	
28	4	X1/R1,X1/R3,X2/R1,X2/R3	RESISTOR 56.2k 1% 0603	**MISSING**	**MISSING**	
29	11	R53,R54,R55,R56,R57,R58,R59,X1/R7,X1/R9,X2/R7,X2/R9	RESISTOR 604k 1% 0603	Panasonic Electronic Components	ERJ-3EKF6043V	
30	4	X1/X10/R1,X1/X5/R1,X2/X10/R1,X2/X5/R1	RESISTOR 34.0k 1% 1/10W 0603	**MISSING**	**MISSING**	
31	4	X1/X10/R2,X1/X5/R2,X2/X10/R2,X2/X5/R2	RESISTOR 26.7k 1% 1/10W 0603	**MISSING**	**MISSING**	
32	8	X1/X10/C1,X1/X10/C6,X1/X5/C1,X1/X5/C6,X2/X10/C1,X2/X10/C6,X2/X5/C1,X2/X5/C6	CAPACITOR 4.7pF 100WVDC NP0 0603	**MISSING**	**MISSING**	
33	8	X1/X10/R14,X1/X10/R4,X1/X5/R14,X1/X5/R4,X2/X10/R14,X2/X10/R4,X2/X5/R14,X2/X5/R4	RESISTOR 32.4k 1% 1/10W 0603	**MISSING**	**MISSING**	
34	8	X1/X10/R17,X1/X10/R7,X1/X5/R17,X1/X5/R7,X2/X10/R17,X2/X10/R7,X2/X5/R17,X2/X5/R7	RESISTOR 499 1% 1/10W 0603	**MISSING**	**MISSING**	
35	8	X1/X10/R16,X1/X10/R6,X1/X5/R16,X1/X5/R6,X2/X10/R16,X2/X10/R6,X2/X5/R16,X2/X5/R6	RESISTOR 20k 1% 1/10W 0603	**MISSING**	**MISSING**	
36	8	X1/X10/R19,X1/X10/R9,X1/X5/R19,X1/X5/R9,X2/X10/R19,X2/X10/R9,X2/X5/R19,X2/X5/R9	RESISTOR 16.9 1% 1/10W 0603	**MISSING**	**MISSING**	
37	16	X1/X10/R11,X1/X10/R20,X1/X10/R23,X1/X10/R24,X1/X5/R11,X1/X5/R20,X1/X5/R23,X1/X5/R24,X2/X10/R11,X2/X10/R20,X2/X10/R23,X2/X10/R24,X2/X5/R11,X2/X5/R20,X2/X5/R23,X2/X5/R24	RESISTOR 10 1% 1/10W 0603	**MISSING**	**MISSING**	
38	24	X1/X2/X1/R1,X1/X2/X1/R2,X1/X2/X2/R1,X1/X2/X2/R2,X1/X3/X1/R1,X1/X3/X1/R2,X1/X3/X2/R1,X1/X3/X2/R2,X1/X4/X1/R1,X1/X4/X1/R2,X1/X4/X2/R1,X1/X4/X2/R2,X2/X2/X1/R1,X2/X2/X1/R2,X2/X2/X2/R1,X2/X2/X2/R2,X2/X3/X1/R1,X2/X3/X1/R2,X2/X3/X2/R1,X2/X3/X2/R2,X2/X4/X1/R1,X2/X4/X1/R2,X2/X4/X2/R1,X2/X4/X2/R2	RESISTOR 1 1% 1W 2512	**MISSING**	**MISSING**	
39	12	X1/X2/X1/R7,X1/X2/X2/R7,X1/X3/X1/R7,X1/X3/X2/R7,X1/X4/X1/R7,X1/X4/X2/R7,X2/X2/X1/R7,X2/X2/X2/R7,X2/X3/X1/R7,X2/X3/X2/R7,X2/X4/X1/R7,X2/X4/X2/R7	RESISTOR 200 1% 1/10W 0603	**MISSING**	**MISSING**	
