ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
1	1	Js	StackConn unknown unknown RC422-200-101-3000	**MISSING**	**MISSING**	
2	16	X1/X1/C1,X1/X2/C1,X1/X3/C1,X1/X4/C1,X2/X1/C1,X2/X2/C1,X2/X3/C1,X2/X4/C1,X3/X1/C1,X3/X2/C1,X3/X3/C1,X3/X4/C1,X4/X1/C1,X4/X2/C1,X4/X3/C1,X4/X4/C1	CAPACITOR 220pF 50WVDC 0805	Murata Electronics North America	GRM216R71H221KA01D	
3	16	X1/X1/C4,X1/X2/C4,X1/X3/C4,X1/X4/C4,X2/X1/C4,X2/X2/C4,X2/X3/C4,X2/X4/C4,X3/X1/C4,X3/X2/C4,X3/X3/C4,X3/X4/C4,X4/X1/C4,X4/X2/C4,X4/X3/C4,X4/X4/C4	CAPACITOR 100pF 5% NP0 Vitreous 0505	Vishay Vitramon	VJ0505D101JXCAJ	
4	16	X1/X1/C19,X1/X2/C19,X1/X3/C19,X1/X4/C19,X2/X1/C19,X2/X2/C19,X2/X3/C19,X2/X4/C19,X3/X1/C19,X3/X2/C19,X3/X3/C19,X3/X4/C19,X4/X1/C19,X4/X2/C19,X4/X3/C19,X4/X4/C19	CAPACITOR 2pF 25WVDC X7R 0603	TDK Corp	C1608C0G1H020C080AA	
5	16	X1/X1/C18,X1/X2/C18,X1/X3/C18,X1/X4/C18,X2/X1/C18,X2/X2/C18,X2/X3/C18,X2/X4/C18,X3/X1/C18,X3/X2/C18,X3/X3/C18,X3/X4/C18,X4/X1/C18,X4/X2/C18,X4/X3/C18,X4/X4/C18	CAPACITOR DNP 25WVDC X7R 0603	**MISSING**	**MISSING**	
6	16	X1/X1/R7,X1/X2/R7,X1/X3/R7,X1/X4/R7,X2/X1/R7,X2/X2/R7,X2/X3/R7,X2/X4/R7,X3/X1/R7,X3/X2/R7,X3/X3/R7,X3/X4/R7,X4/X1/R7,X4/X2/R7,X4/X3/R7,X4/X4/R7	RESISTOR DNP 1% 1/10W 0603	**MISSING**	**MISSING**	
7	16	X1/X1/U9,X1/X2/U9,X1/X3/U9,X1/X4/U9,X2/X1/U9,X2/X2/U9,X2/X3/U9,X2/X4/U9,X3/X1/U9,X3/X2/U9,X3/X3/U9,X3/X4/U9,X4/X1/U9,X4/X2/U9,X4/X3/U9,X4/X4/U9	AD7984BRMZ unknown unknown MSOP10	Analog Devices	AD7984BRMZ	
8	32	X1/X1/C20,X1/X1/C21,X1/X2/C20,X1/X2/C21,X1/X3/C20,X1/X3/C21,X1/X4/C20,X1/X4/C21,X2/X1/C20,X2/X1/C21,X2/X2/C20,X2/X2/C21,X2/X3/C20,X2/X3/C21,X2/X4/C20,X2/X4/C21,X3/X1/C20,X3/X1/C21,X3/X2/C20,X3/X2/C21,X3/X3/C20,X3/X3/C21,X3/X4/C20,X3/X4/C21,X4/X1/C20,X4/X1/C21,X4/X2/C20,X4/X2/C21,X4/X3/C20,X4/X3/C21,X4/X4/C20,X4/X4/C21	CAPACITOR 1nF 50WVDC C0G 0603	Murata Electronics North America	GRM1885C1H102JA01D	
9	16	X1/X1/R19,X1/X2/R19,X1/X3/R19,X1/X4/R19,X2/X1/R19,X2/X2/R19,X2/X3/R19,X2/X4/R19,X3/X1/R19,X3/X2/R19,X3/X3/R19,X3/X4/R19,X4/X1/R19,X4/X2/R19,X4/X3/R19,X4/X4/R19	RESISTOR 62 5% 0.15W 0805	**MISSING**	**MISSING**	
10	96	X1/X1/R10,X1/X1/R12,X1/X1/R15,X1/X1/R38,X1/X1/R4,X1/X1/R9,X1/X2/R10,X1/X2/R12,X1/X2/R15,X1/X2/R38,X1/X2/R4,X1/X2/R9,X1/X3/R10,X1/X3/R12,X1/X3/R15,X1/X3/R38,X1/X3/R4,X1/X3/R9,X1/X4/R10,X1/X4/R12,X1/X4/R15,X1/X4/R38,X1/X4/R4,X1/X4/R9,X2/X1/R10,X2/X1/R12,X2/X1/R15,X2/X1/R38,X2/X1/R4,X2/X1/R9,X2/X2/R10,X2/X2/R12,X2/X2/R15,X2/X2/R38,X2/X2/R4,X2/X2/R9,X2/X3/R10,X2/X3/R12,X2/X3/R15,X2/X3/R38,X2/X3/R4,X2/X3/R9,X2/X4/R10,X2/X4/R12,X2/X4/R15,X2/X4/R38,X2/X4/R4,X2/X4/R9,X3/X1/R10,X3/X1/R12,X3/X1/R15,X3/X1/R38,X3/X1/R4,X3/X1/R9,X3/X2/R10,X3/X2/R12,X3/X2/R15,X3/X2/R38,X3/X2/R4,X3/X2/R9,X3/X3/R10,X3/X3/R12,X3/X3/R15,X3/X3/R38,X3/X3/R4,X3/X3/R9,X3/X4/R10,X3/X4/R12,X3/X4/R15,X3/X4/R38,X3/X4/R4,X3/X4/R9,X4/X1/R10,X4/X1/R12,X4/X1/R15,X4/X1/R38,X4/X1/R4,X4/X1/R9,X4/X2/R10,X4/X2/R12,X4/X2/R15,X4/X2/R38,X4/X2/R4,X4/X2/R9,X4/X3/R10,X4/X3/R12,X4/X3/R15,X4/X3/R38,X4/X3/R4,X4/X3/R9,X4/X4/R10,X4/X4/R12,X4/X4/R15,X4/X4/R38,X4/X4/R4,X4/X4/R9	RESISTOR 3.00k 1% 0603	Panasonic Electronic Components	ERJ-3EKF3001V	
