0	Pt1000 sensor 1	-125	+130					C	
1	Pt1000 sensor 2	-125	+130					C	
2	Pt1000 sensor 3	-125	+130					C	
3	Pt1000 sensor 4	-125	+130					C	
4	Pt1000 sensor 5	-125	+130					C	
5	Pt1000 sensor 6	-125	+130					C	
6	Pt1000 sensor 7	-125	+130					C	
7	Pt1000 sensor 8	-125	+130					C	
8	Pt1000 sensor 9	-125	+130					C	
9	Pt1000 sensor 10	-125	+130					C	
10	Pt1000 sensor 11	-125	+130					C	
11	Pt1000 sensor 12	-125	+130					C	
12	AlCu sensor CCD1	-150	+40					C	
13	AlCu sensor CCD2	-150	+40					C	
14	AlCu sensor CCD3	-150	+40					C	
15	AlCu sensor CCD4	-150	+40					C	
